+ Add Milestone,+ Ongeraho Intambwe Nkuru
Frappe Projects sync is not enabled,Guhuza Frappe Projects ntibifunguwe
Frappe Task DocType not found,DocType y'Umurimo wa Frappe ntiyabonetse
Frappe Task has no project,Umurimo wa Frappe nta mushinga ufite
Frappe Task {0} not found,Umurimo wa Frappe {0} ntiwaboneye
Fri,Gat
From,Kuva
From Template,Kuva ku Ngero
FS (Finish-Start),FS (Iherezo-Itangiriro)
FS - Finish-to-Start (default),FS - Iherezo-kuri-Itangiriro (cy'ibanze)
Full form view with audit trail,Igaragara ryose ry'iform hamwe n'inzira yo kugenzura
Full name,Izina ryose
Gantt,Gantt
Gantt Chart,Ishusho ya Gantt
Gantt View,Igaragara rya Gantt
General Note,Icyanditswe Rusange
Get started,Tangira
Go back,Subira inyuma
Go Back,Go Back
Group by,Huza ku
Group dependency removed,Isano y'itsinda yakuwe
Group dependency set,Isano y'itsinda yashyizweho
Group removed,Itsinda ryakuwe
Group updated,Itsinda ryahinduwe
Hammock task dates are auto-calculated and cannot be changed manually,Amatariki y'umurimo w'igitanda akurwa otomatike kandi ntashobora guhindurwa n'intoki
Have a question or need assistance? Fill out the form below and our team will get back to you.,Ufite ikibazo cyangwa ukeneye ubufasha? Uzuza form iri hano hepfo kandi itsinda ryacu rizakugaruka.
Health,Ubuzima
Healthy,Bimeze neza
Hello {0},Muraho {0}
Here's what's happening with your projects today.,Ngiki ibigenda mu mishinga yawe uyu munsi.
Hide,Hisha
High,Hejuru
History,Amateka
Home,Ahabanza
Hourly Cost,Igiciro cy'isaha
Hours,Amasaha
hours,amasaha
Hours Logged,Amasaha yanditswe
ID,Inomero
Image must be smaller than 5 MB,Ishusho igomba kuba nto kuruta MB 5
Import,Injiza
Import existing projects and tasks from Frappe Projects module,Injiza imishinga n'imirimo bisanzwe biri muri modire ya Frappe Projects
Import failed,Kwinjiza byanze
Import Template,Injiza Ingero
Imported,Byinjijwe
in,muri
In Progress,Biracyakora
In Review,Birasuzumwa
In-app notifications,Imenyesha z'imbere mu porogaramu
Inactive,Ntibirakora
Initial Review,Isuzuma rya Mbere
Installed Version,Installed Version
Insufficient permissions to view all tasks,Uburenganzira bw'intege nke bwo kureba imirimo yose
Intermediate,Hagati
Internal,Imbere
Invalid DocType,DocType itari nziza
Invalid DocType for import,DocType itari nziza yo kwinjiza
Invalid item type: {0},Ubwoko bw'igice butari bwiza: {0}
Invalid JSON data,Amakuru ya JSON atari meza
Invalid note type. Must be one of: {0},Ubwoko bw'icyanditswe butari bwiza. Bugomba kuba bumwe muri: {0}
Invalid project reference,Ireferansi y'umushinga itari nziza
Invalid reaction type. Must be one of: {0},Ubwoko bw'igisubizo butari bwiza. Bugomba kuba bumwe muri: {0}
Invalid RSVP status,Imiterere ya RSVP itari nziza
Invalid status. Must be one of: {0},Imiterere itari nziza. Igomba kuba imwe muri: {0}
Invalid status: {0},Imiterere itari nziza: {0}
Invalid status: {0}. Must be one of: {1},Imiterere itari nziza: {0}. Igomba kuba imwe muri: {1}
Invalid tracking context: {0},Imiterere yo gukurikirana itari nziza: {0}
Invalid visibility. Must be one of: {0},Igaragara ritari rizima. Rigomba kuba rimwe muri: {0}
Invitation: {0} - {1} at {2},Itumire: {0} - {1} saa {2}
Invite People,Tumira Abantu
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Igice cyongewemo
Item ID is required,Inomero y'igice isabwa
Item removed,Igice cyakuwe
Item type is required,Ubwoko bw'igice busabwa
Item {0} not found,Igice {0} nticyabonetse
Job title or role,Umwanya cyangwa uruhare
Join Meeting,Injira mu Nama
Just now,Ubu nyine
just now,ubu nyine
Kanban,Kanban
Kanban Board,Ikibaho cya Kanban
Kanban View,Igaragara rya Kanban
Keyboard Shortcuts,Inzira z'amahinnye z'ubufunguro
Keyboard shortcuts (?),Inzira z'amahinnye z'ubufunguro (?)
Last checked: {0},Last checked: {0}
Last Updated,Igihe cyahinduwe
Last updated:,Igihe cyahinduwe:
Last Week,Icyumweru gishize
Latest Version,Latest Version
Light,Urumuri
Link failed,Guhuza byanze
Link Task,Huza Umurimo
Linked,Bihujwe
Linked employee not found,Umukozi uhujwe ntiyabonetse
Linked Tasks,Imirimo ihujwe
List,Urutonde
List View,Igaragara ry'Urutonde
Load failed,Gufungura byanze
Load More,Fungura Byinshi
Load more comments,Fungura ibitekerezo byinshi
Loading activity...,Birafungura ibikorwa...
Loading changes...,Birafungura amahinduka...
Loading checklist...,Birafungura urutonde rwo kugenzura...
Loading comments...,Birafungura ibitekerezo...
Loading contact...,Birafungura umuntu wo guhamagara...
Loading contacts...,Birafungura abantu bo guhamagara...
Loading dependencies...,Birafungura isano...
Loading details...,Birafungura amakuru...
Loading discussion...,Birafungura ikiganiro...
Loading events...,Birafungura ibintu...
Loading files...,Birafungura dosiye...
Loading notes...,Birafungura amandiko...
Loading preferences...,Birafungura ibyashimwe...
Loading project...,Birafungura umushinga...
Loading projects...,Birafungura imishinga...
Loading replies...,Birafungura ibisubizo...
Loading report data...,Birafungura amakuru y'iraporo...
Loading settings...,Birafungura amabwiriza...
Loading task...,Birafungura umurimo...
Loading templates...,Birafungura ingero...
Loading time logs...,Birafungura inyandiko z'igihe...
Loading your portal...,Birafungura umuryango wawe...
Loading...,Birafungura...
Location,Ahantu
Log Time,Andika Igihe
Logout,Sohoka
Low,Buke
Make Offer,Tanga Igitekerezo
Manager,Umuyobozi
Manual Entry,Kwinjiza ku ntoki
Margin,Inyungu
Mark all as read,Shyira byose nk'ibyasomwe
Mark all read,Shyira byose zasomwe
Mark as read,Shyira nk'icyasomwe
Mark as unread,Shyira nk'icyatasomwe
Mark read,Shyira icyasomwe
Marking...,Bishyirwaho...
Material,Ibikoresho
Maybe,Birashoboka
Medium,Hagati
Meeting,Inama
Meeting Link,Isano y'inama
Meeting title,Umutwe w'inama
Meeting URL,URL y'inama
Meetings,Inama
Mention,Vuga
Message,Ubutumwa
Message is required,Ubutumwa busabwa
Message is required for '{0}' action,Ubutumwa busabwa ku gikorwa cya '{0}'
Migrate,Imura
Migration Complete,Kwimura byarangiye
Migration ID:,Inomero yo kwimura:
Migration log not found: {0},Inyandiko yo kwimura {0} ntiyabonetse
Milestone,Intambwe Nkuru
milestone,intambwe nkuru
Milestone created,Intambwe nkuru yakozwe
Milestone description has been saved.,Ibisobanuro by'intambwe nkuru byabitswe.
Milestone ID is required,Inomero y'intambwe nkuru isabwa
Milestone marked as Missed (past due date),Intambwe nkuru yashyizweho nk'aho itarashitswe (itariki yashize)
Milestone moved,Intambwe nkuru yimuwe
Milestone Name,Izina ry'Intambwe Nkuru
Milestone name has been saved.,Izina ry'intambwe nkuru ryabitswe.
Milestone name is required,Izina ry'intambwe nkuru risabwa
Milestone updated,Intambwe nkuru yahinduwe
Milestone {0} not found,Intambwe nkuru {0} ntiyabonetse
Milestone {0} not in project {1},Intambwe nkuru {0} ntiri mu mushinga {1}
Milestones,Intambwe nkuru
milestones,intambwe nkuru
Milestones:,Intambwe nkuru:
Minutes,Iminota
Missed,Ntibwashitswe
Mixed,Bivanze
Mobile,Telefoni
Moderate,Biringaniye
Modified,Byahinduwe
"Modify details, time, or attendees","Hindura amakuru, igihe, cyangwa abitabiriye"
Mon,Mbe
Month,Ukwezi
Move failed,Kwimura byanze
Must be a positive number,Igomba kuba inomero yiza
Must finish before this finishes,Igomba kurangira mbere y'uko ibi birangira
Must finish before this starts,Igomba kurangira mbere y'uko ibi bitangira
Must start before this finishes,Igomba gutangira mbere y'uko ibi birangira
Must start before this starts,Igomba gutangira mbere y'uko ibi bitangira
My Assignments,Ibigenewe Byanjye
My Projects,Imishinga Yanjye
My Schedule,Gahunda Yanjye
My Tasks,Imirimo Yanjye
N/A,Ntibireba
Name,Izina
Name (A-Z),Izina (A-Z)
Name (Z-A),Izina (Z-A)
Name cannot exceed 255 characters,Izina ntirishobora kurenza inyuguti 255
Need help?,Ukeneye ubufasha?
Needs Attention,Bisaba Kwitabwaho
Never,Never
new activities,ibikorwa bishya
New Activity,Igikorwa Gishya
New activity,Igikorwa gishya
New Event,Ikintu Gishya
New index is required,Inomero nshya isabwa
New Project,Umushinga Mushya
New tasks will auto-trail by default.,Imirimo mishya izasunikwa otomatike by'ibanze.
Newest First,Bishya bya mbere
Next,Ibikurikira
Next 14 days,Iminsi 14 iri imbere
Next 30 days,Iminsi 30 iri imbere
Next 60 days,Iminsi 60 iri imbere
Next 7 days,Iminsi 7 iri imbere
Next 90 days,Iminsi 90 iri imbere
Next Week,Icyumweru gitaha
Next:,Ibikurikira:
No,Oya
No active assignments,Nta bigenewe birakora
No active projects,Nta mishinga irakora
No active timer found,Nta saha irakora yabonetse
No activity selected,Nta gikorwa cyahisemo
No assignments found,Nta bigenewe byabonetse
No attendees,Nta bitabiriye
no change,nta mahinduka
No changes for this field.,Nta mahinduka ku mwanya.
No changes recorded for this activity.,Nta mahinduka yanditswe ku gikorwa.
No checklist items yet,Nta bice by'urutonde rwo kugenzura birahari
No checklist items yet.,Nta bice by'urutonde rwo kugenzura birahari.
No comments yet,Nta bitekerezo birahari
No comments yet.,Nta bitekerezo birahari.
No contacts available,Nta bantu bo guhamagara bahari
No content for this tab,Nta birimo kuri iki gicupo
No data available,Nta makuru ahari
No data available for the selected filters,Nta makuru ahari ku bihinguranya byahisemo
No data to export,Nta makuru yo kohereza hanze
No dates set,Nta matariki yashyizweho
No defects reported,Nta makosa yatanzwe
No dependencies defined,Nta sano zashyizweho
No description,Nta bisobanuro
No discussion yet.,Nta kiganiro birahari.
No documents attached,Nta nyandiko zishyizweho
No due date,Nta tariki yo kurangirira
No employee linked to this resource,Nta mukozi uhujwe n'uyu mutungo
No ERPNext employee linked to resource,Nta mukozi wa ERPNext uhujwe n'umutungo
No events found,Nta bintu byabonetse
No files attached yet.,Nta dosiye zishyizweho birahari.
No Frappe Project linked,Nta mushinga wa Frappe uhujwe
No Grouping,Nta Guhuza
No items,Nta bice
No matching tasks,Nta mirimo ihuye
No matching tasks found,Nta mirimo ihuye yabonetse
No migration history,Nta mateka yo kwimura
No Milestone,Nta Ntambwe Nkuru
No milestones,Nta ntambwe nkuru
No milestones defined for this project.,Nta ntambwe nkuru zashyizweho ku mushinga.
No notes yet.,Nta mandiko birahari.
No notes yet. Add a due diligence note to track progress.,Nta mandiko birahari. Ongeraho icyanditswe cy'isuzuma ry'umwihariko ukurikirane aho bigeze.
No notifications,Nta menyesha
No Orga Project linked to Frappe Project {0},Nta mushinga wa Orga uhujwe n'umushinga wa Frappe {0}
No overdue tasks,Nta mirimo yatinze
No pending cascade changes,Nta mahinduka y'umurongo ategereje
No predecessors - this task can start independently,Nta byatangiriye — uyu murimo ushobora gutangira wenyine
No project,Nta mushinga
No projects found,Nta mishinga yabonetse
No Projects Yet,Nta Mishinga Birahari
No recent activity,Nta bikorwa bya vuba
No related documents,Nta nyandiko zihuriyeho
No resolved threads.,Nta biganiro byakemutse.
No resources found,Nta mitungo yabonetse
No results found,Nta bisubizo byabonetse
No skills listed,Nta bumenyi bwanditswe
No skills recorded yet,Nta bumenyi bwanditswe birahari
No successors - no tasks are waiting for this one,Nta bikurikiranwa — nta murimo utegereje uyu
No task selected,Nta murimo wahisemo
No tasks assigned to you,Nta murimo wagenewe
No tasks available to add,Nta mirimo iboneka yo kongeraho
No tasks found,Nta mirimo yabonetse
No tasks linked to this milestone,Nta mirimo ihujwe n'iyi ntambwe nkuru
No tasks with dates to display,Nta mirimo ifite amatariki yo kwerekana
No tasks yet,Nta mirimo birahari
No team members,Nta banyamuryango b'itsinda
No template,Nta ngero
No templates yet,Nta ngero birahari
No time data found,Nta makuru y'igihe yabonetse
No time logged today,Nta gihe cyanditswe uyu munsi
No time logged yet,Nta gihe cyanditswe birahari
No time logs for this period,Nta nyandiko z'igihe muri iki gihe
No time logs found,Nta nyandiko z'igihe zabonetse
No unread notifications,Nta menyesha zitasomwe
No update information available yet.,No update information available yet.
None,Ntacyo
Not found,Ntibwabonetse
Not permitted,Ntibwemewe
Not permitted to access this project,Ntibwemewe kugera kuri uyu mushinga
Not permitted to access this task,Ntibwemewe kugera kuri uyu murimo
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Ntubwemewe gutanga ibitekerezo kuri iyi nyandiko
Not permitted to create clients,Ntubwemewe gukora abakiriya
Not permitted to delete this client,Ntubwemewe gusiba uyu mukiriya
Not permitted to delete this defect,Ntubwemewe gusiba iri kosa
Not permitted to delete this note,Ntubwemewe gusiba iki cyanditswe
Not permitted to delete this project,Ntubwemewe gusiba uyu mushinga
Not permitted to delete this task,Ntubwemewe gusiba uyu murimo
Not permitted to delete this time log,Ntubwemewe gusiba iyi nyandiko y'igihe
Not permitted to invite clients,Ntubwemewe gutumira abakiriya
Not permitted to modify client access,Ntubwemewe guhindura uburenganzira bw'umukiriya
Not permitted to modify this project,Ntubwemewe guhindura uyu mushinga
Not permitted to update settings,Ntubwemewe guhindura amabwiriza
Not permitted to update this client,Ntubwemewe guhindura uyu mukiriya
Not permitted to view this client,Ntubwemewe kureba uyu mukiriya
not sent,ntibyoherejwe
Not set,Ntibwashyizweho
Not specified,Ntibwasobanuwe
Note,Icyanditswe
Note (optional),Icyanditswe (si ngombwa)
Note Content,Ibirimo by'Icyanditswe
Note content is required,Ibirimo by'icyanditswe bisabwa
Note name is required,Izina ry'icyanditswe risabwa
Note not found,Icyanditswe nticyabonetse
Note Type,Ubwoko bw'Icyanditswe
Notes,Amandiko
Notification,Imenyesha
Notification not found,Imenyesha ntiyabonetse
Notifications,Imenyesha
Off Track,Biri Hanze y'Inzira
Offer,Igitekerezo
Offer Prepared,Igitekerezo Cyateguwe
Oldest First,Bishaje bya mbere
On Hold,Bihagaritswe
On Leave,Ku Kiruhuko
On Track,Mu Nzira
On-Time Rate,Igipimo cy'Ubuzirantege
Only administrators can delete activities,Abayobozi gusa bashobora gusiba ibikorwa
Only the comment author or administrators can delete comments,Uwanditse igitekerezo cyangwa abayobozi gusa bashobora gusiba ibitekerezo
Only you and admins,Wowe n'abayobozi gusa
Open,Ifunguye
Open in Desk,Fungura muri Desk
Open Task Log,Fungura Inyandiko y'Umurimo
Open Tasks,Imirimo Ifunguye
Optional,Si ngombwa
optional,si ngombwa
Or email us directly at,Cyangwa utwohereze imeri kuri
Orga Project {0} from Frappe Projects,Umushinga wa Orga {0} uturutse kuri Frappe Projects
Orga Task {0} from Frappe,Umurimo wa Orga {0} uturutse kuri Frappe
Organizer,Umutegura
Other,Ibindi
Over Budget,Hejuru y'Ingengo y'Imari
Overall Progress,Aho Bigeze Muri Rusange
Overall Utilization,Imikoreshereze Muri Rusange
Overallocated,Byagabanyijwe birenze
Overdue,Byatinze
overdue,byatinze
Overdue Tasks,Imirimo Yatinze
Overview,Ishusho Rusange
Owner,Nyir'ubwite
Page Not Found,Ipaji Ntiyabonetse
Parent,Umubyeyi
Parent comment must belong to the same document,Igitekerezo cy'umubyeyi kigomba kuba icy'inyandiko imwe
Parent comment not found,Igitekerezo cy'umubyeyi nticyabonetse
Parent project not synced to Frappe yet,Umushinga w'umubyeyi nturahuza na Frappe
Parent project sync not enabled,Guhuza umushinga w'umubyeyi ntibifunguwe
Partner,Umufatanyabikorwa
Pending,Birategereje
per page,kuri buri paji
Perform initial assessment and background check,Kora isuzuma ry'ibanze n'igenzura ry'imiterere y'inyuma
Permanently remove this event,Kura iki kintu burundu
Permanently remove this task,Kura uyu murimo burundu
Phone,Telefoni
Pin,Shyira ku kibaho
Pin Activity,Shyira Igikorwa ku Kibaho
Pin to top,Shyira hejuru
Pinned,Bishyizwe ku kibaho
Planned budget for this task,Ingengo y'imari yateguwe ku murimo
Planning,Gutegura
Please describe your question or issue in detail...,Sobanura ikibazo cyawe mu buryo burambuye...
Please login to access Orga,Injira kugira ugere kuri Orga
Please login to access the client portal,Injira kugira ugere ku muryango w'umukiriya
Please respond to this invitation in Orga,Subiza iri tumire muri Orga
Please select an image file,Hitamo dosiye y'ishusho
Please try again,Ongera ugerageze
Please type,Andika
Portal,Umuryango
Portal access revoked for {0},Uburenganzira bw'umuryango bwakuwe kuri {0}
Portal user created successfully. Welcome email {0},Umukoresha w'umuryango yakozwe neza. Imeri yo kwakira {0}
Post,Tangaza
Powered by,Byandikoreshejwe na
Powered by Tonic,Byandikoreshejwe na Tonic
Predecessors (Blocked By),Ibyatangiriye (Byahagaritswe na)
Preferences,Ibyashimwe
Preferences saved successfully,Ibyashimwe byabitswe neza
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Imbanziriza y'amanomero y'imishinga akozwe otomatike (urugero: ORG-2026-0001)
Prepare and document offer terms,Tegura kandi wandike amabwiriza y'igitekerezo
Press,Kanda
Preview,Reba mbere
Preview cascade before applying,Reba umurongo mbere yo gukoresha
Previous,Ibyabanjirije
Priority,Ibyihutirwa
Priority assigned to new tasks,Ibyihutirwa byashyizwe ku mirimo mishya
Priority updated,Ibyihutirwa byahinduwe
Proficiency,Ubuhanga
Profile,Umwirondoro
Progress,Aho bigeze
Progress (High-Low),Aho bigeze (Hejuru-Buke)
Progress (Low-High),Aho bigeze (Buke-Hejuru)
Progress Overview,Ishusho y'aho bigeze
Progress updated,Aho bigeze byahinduwe
Project,Umushinga
Project budget has been saved.,Ingengo y'imari y'umushinga yabitswe.
Project code (e.g. ORG-2026-0001),Inomero y'umushinga (urugero: ORG-2026-0001)
Project Code Prefix,Imbanziriza y'Amanomero y'Umushinga
Project created,Umushinga wakozwe
Project deleted,Umushinga wasibwe
Project description has been saved.,Ibisobanuro by'umushinga byabitswe.
Project Details,Amakuru y'Umushinga
Project end date has been saved.,Itariki y'iherezo ry'umushinga yabitswe.
Project Files,Dosiye z'Umushinga
Project has no linked client,Umushinga nta mukiriya uhujwe
Project Health,Ubuzima bw'Umushinga
Project Info,Amakuru y'Umushinga
Project is required,Umushinga usabwa
Project is required for project context,Umushinga usabwa ku miterere y'umushinga
Project is required when tracking context is 'project',Umushinga usabwa imiterere yo gukurikirana iri 'umushinga'
Project Manager,Umuyobozi w'Umushinga
Project Name,Izina ry'Umushinga
Project name and template name are required,Izina ry'umushinga n'izina ry'ingero bisabwa
Project name is required,Izina ry'umushinga risabwa
Project not found,Umushinga ntiwaboneye
Project not found or you do not have access,Umushinga ntiwaboneye cyangwa nta burenganzira ufite
Project settings,Amabwiriza y'umushinga
Project start date has been saved.,Itariki yo gutangira umushinga yabitswe.
Project title has been saved.,Umutwe w'umushinga wabitswe.
Project Type,Ubwoko bw'Umushinga
Project updated,Umushinga wahinduwe
Project {0} linked to client {1},Umushinga {0} wahujwe n'umukiriya {1}
Project {0} not found,Umushinga {0} ntiwaboneye
Project {0} to Frappe Projects,Umushinga {0} kuri Frappe Projects
Project:,Umushinga:
Projects,Imishinga
projects,imishinga
Projects created:,Imishinga yakozwe:
Projects Overview,Ishusho Rusange y'Imishinga
Projects skipped:,Imishinga yasimbuwemo:
Projects updated:,Imishinga yahinduwe:
Promote failed,Gushyira hejuru byanze
Promote to task,Shyira hejuru ube umurimo
Promoted to task,Byashyizwe hejuru bube umurimo
Propose,Tanga igitekerezo
Propose New Time,Tanga Igihe Gishya
Propose Time,Tanga Igihe
Proposed End,Iherezo Ryatanzwe
Proposed Start,Itangiriro Ryatanzwe
Public,Rusange
Quick Action,Igikorwa cy'Ihuse
Quick Actions,Ibikorwa by'Ihuse
Quick Stats,Imibare y'Ihuse
Rates,Ibipimo
Receive notifications via email,Akira imenyesha binyuze ku meri
Receive notifications within the application,Akira imenyesha mu porogaramu
Recent Activity,Ibikorwa bya Vuba
Recipient {0} is not a valid user,Uwakira {0} si umukoresha nyakuri
Reference,Ireferansi
Refresh,Ongera ufungure
Related,Bihuriyeho
Related Company (optional),Isosiyete ihuriyeho (si ngombwa)
Related Documents,Inyandiko zihuriyeho
Related Project,Umushinga uhuriyeho
Remaining,Bisigaye
Reminder,Urwibutso
Reminder Lead Time,Igihe cyo Mbere y'Urwibutso
Reminder: {0} - {1} at {2},Urwibutso: {0} - {1} saa {2}
Remove,Kura
Remove dependency,Kura isano
Remove dependency on,Kura isano kuri
Remove from group,Kura mu itsinda
Remove group dependency,Kura isano y'itsinda
Remove skill,Kura ubumenyi
Reopen,Ongera ufungure
Reopen thread,Ongera ufungure ikiganiro
reopened,byongeye gufungurwa
replies,ibisubizo
Reply,Subiza
reply,igisubizo
Replying to,Bisubiza
Replying to comment,Bisubiza igitekerezo
Report Defect,Tanga Ikosa
Reported Date,Itariki yo Gutanga
Reports,Iraporo
Reports To,Itanga Raporo kuri
Request Submitted!,Icyifuzo Cyoherejwe!
Required,Bisabwa
required,bisabwa
Research,Ubushakashatsi
Reset to Defaults,Subiza ku by'Ibanze
Resolve,Kemura
Resolve thread,Kemura ikiganiro
Resolved,Byakemutse
Resolved date cannot be before reported date,Itariki yo gukemura ntishobora kuba mbere y'itariki yo gutanga
Resource,Umutungo
Resource and skill name are required,Umutungo n'izina ry'ubumenyi bisabwa
Resource is already an attendee,Umutungo usanzwe ari umwitabiri
Resource name is required,Izina ry'umutungo risabwa
Resource not found,Umutungo ntiwaboneye
Resource synced from employee {0},Umutungo wahujwe n'umukozi {0}
Resource {0} is already assigned to this task ({1}),Umutungo {0} usanzwe wagenewe uyu murimo ({1})
Resource {0} not found,Umutungo {0} ntiwaboneye
Resources,Imitungo
Retry,Ongera ugerageze
Review,Suzuma
Review all relevant documents and contracts,Suzuma inyandiko n'amasezerano byose ahuriyeho
Reviews,Isuzuma
Risk Assessment,Isuzuma ry'Akaga
Rollback,Subira inyuma
Rolled back,Byasubiye inyuma
Room or address,Icyumba cyangwa aderesi
RSVP,RSVP
Safety,Umutekano
Sat,Mtn
Save,Bika
"Save a project as a template, or import one from a JSON file.","Bika umushinga nk'ingero, cyangwa injiza imwe uva kuri dosiye ya JSON."
Save as Template,Bika nk'Ingero
Save Changes,Bika Amahinduka
Save failed,Kubika byanze
Save Preferences,Bika Ibyashimwe
Save Template,Bika Ingero
Saving...,Birabikwa...
Schedule,Gahunda
Schedule type is required for scheduled triggers,Ubwoko bwa gahunda busabwa ku bichochezi bipanzwe
Scheduled,Byapanzwe
Search,Shakisha
"Search by name, email, or skill...","Shakisha ku izina, imeri, cyangwa ubumenyi..."
Search for a project...,Shakisha umushinga...
Search for a task...,Shakisha umurimo...
Search for an event...,Shakisha ikintu...
Search for people to invite...,Shakisha abantu bo gutumira...
Search tasks to link...,Shakisha imirimo yo guhuza...
Search tasks...,Shakisha imirimo...
Search...,Shakisha...
Searching...,Birashakisha...
Seen,Byarebwe
Select a project if your request is related to a specific project.,Hitamo umushinga niba icyifuzo cyawe gihuriye n'umushinga umwe.
Select a project...,Hitamo umushinga...
Select a task from the Gantt chart to view and manage its details.,Hitamo umurimo ku ishusho ya Gantt kugira ubone kandi ugenzure amakuru yawo.
Select a task from the list or Kanban board to view and manage its details.,Hitamo umurimo ku rutonde cyangwa ikibaho cya Kanban kugira ubone kandi ugenzure amakuru yawo.
Select a template...,Hitamo ingero...
Select priority...,Hitamo ibyihutirwa...
Select status...,Hitamo imiterere...
Select task...,Hitamo umurimo...
Select type...,Hitamo ubwoko...
Selection,Ihitamo
Send,Ohereza
Send comment,Ohereza igitekerezo
Send email invitations to attendees,Ohereza inzego z'imeri ku bitabiriye
Send Invitations,Ohereza Inzego
Send notification when a task is assigned to a user,Ohereza imenyesha umurimo ugenewe umukoresha
Send notification when task status changes,Ohereza imenyesha imiterere y'umurimo ihindutse
Send reminder before task due date,Ohereza urwibutso mbere y'itariki yo kurangirira y'umurimo
sent,byoherejwe
Set rate,Shyiraho igipimo
Settings,Amabwiriza
Settings saved successfully,Amabwiriza yabitswe neza
Severity,Uburemere
SF (Start-Finish),SF (Itangiriro-Iherezo)
SF - Start-to-Finish,SF - Itangiriro-kuri-Iherezo
Show,Erekana
Show all,Erekana byose
Show all changes,Erekana amahinduka yose
Show Archived,Erekana Ibibitswe
Show full diff,Erekana itandukaniro ryose
Show less,Erekana bike
Show more,Erekana byinshi
Skill added,Ubumenyi bwongewemo
Skill is required,Ubumenyi busabwa
Skill Name,Izina ry'Ubumenyi
Skill removed,Ubumenyi bwakuwe
Skill {0} already exists for this resource,Ubumenyi {0} busanzwe buhari ku mutungo
Skills,Ubumenyi
Skills & Competencies,Ubumenyi n'Ubushobozi
Skip already migrated projects,Simbuka imishinga isanzwe yimuwe
Sort by,Tondekanya ku
Sort: Due Date,Tondekanya: Itariki yo Kurangirira
Sort: Priority,Tondekanya: Ibyihutirwa
Sort: Project,Tondekanya: Umushinga
Sort: Status,Tondekanya: Imiterere
Sort: Task,Tondekanya: Umurimo
Source Code,Inkomoko y'Ikoranabuhanga
Spent,Byakoreshejwe
Spent:,Byakoreshejwe:
SS (Start-Start),SS (Itangiriro-Itangiriro)
SS - Start-to-Start,SS - Itangiriro-kuri-Itangiriro
Standalone,Bwigenga
Start,Tangira
Start a discussion below,Tangira ikiganiro hano hepfo
Start Date,Itariki yo Gutangira
Start date,Itariki yo gutangira
Start Date (Earliest),Itariki yo Gutangira (ya mbere)
Start date updated,Itariki yo gutangira yahinduwe
Start date/time is required,Itariki/isaha yo gutangira isabwa
Start Migration,Tangira Kwimura
Start the conversation below.,Tangira ikiganiro hano hepfo.
Start Timer,Tangira Isaha
Start typing to search...,Tangira kwandika kushakisha...
Start-to-Finish,Itangiriro-kuri-Iherezo
Start-to-Start,Itangiriro-kuri-Itangiriro
Start:,Itangiriro:
Statistics reset,Imibare yasubijwe
Status,Imiterere
Status assigned to new projects,Imiterere yashyizwe ku mishinga mishya
Status assigned to new tasks,Imiterere yashyizwe ku mirimo mishya
Status Changes,Amahinduka y'Imiterere
Status updated,Imiterere yahinduwe
Status:,Imiterere:
Stop,Hagarika
Stop & Save,Hagarika kandi Ubike
Stop Timer,Hagarika Isaha
Stops current timer and starts for this event,Ihagarika isaha iriho kandi itangira iyi y'ikintu
Stops current timer and starts for this task,Ihagarika isaha iriho kandi itangira iy'umurimo
Subject,Insanganyamatsiko
Subject cannot exceed 255 characters,Insanganyamatsiko ntishobora kurenza inyuguti 255
Subject is required,Insanganyamatsiko isabwa
Submit,Ohereza
Submit Another Request,Ohereza Icyifuzo Kindi
Submit Request,Ohereza Icyifuzo
Submitting...,Biroherezwa...
Successfully saved,Byabitswe neza
Successors (Blocking),Ibikurikira (Bihagarika)
Sun,Cyu
Supplier,Utanga ibikoresho
Support,Ubufasha
Switch to this event,Hindukira kuri iki kintu
Switch to this task,Hindukira kuri uyu murimo
Sync direction is set to Frappe to Orga only,Icyerekezo cy'isano gishyizwe kuva Frappe kugera Orga gusa
Sync direction is set to Orga to Frappe only,Icyerekezo cy'isano gishyizwe kuva Orga kugera Frappe gusa
Sync not enabled for this project,Guhuza ntibifunguwe kuri uyu mushinga
System,Sisitemu
Table,Imbonerahamwe
Take ownership of this task,Fata uyu murimo
Target Date,Itariki Ntarengwa
Target End,Iherezo Ntarengwa
Target Project,Umushinga Ntarengwa
Target user is required for '{0}' action,Umukoresha ntarengwa asabwa ku gikorwa cya '{0}'
Task,Umurimo
task,umurimo
Task '{0}' is due on {1}.,Umurimo '{0}' ugomba kurangira ku {1}.
Task and resource are required,Umurimo n'umutungo bisabwa
Task Assignment,Igenerwa ry'Umurimo
Task cannot be its own parent,Umurimo ntushobora kuba umubyeyi wawo
Task cannot depend on itself,Umurimo ntushobora kwigendera
Task cannot depend on the group it belongs to,Umurimo ntushobora gutegemera itsinda ririmo
Task created,Umurimo wakozwe
Task deleted,Umurimo wasibwe
Task description has been saved.,Ibisobanuro by'umurimo byabitswe.
