+ Add Milestone,+ 添加里程碑
Note name is required,备注名称为必填项
Note not found,未找到备注
Note Type,备注类型
Notes,备注
Notification,通知
Notification not found,未找到通知
Notifications,通知
Off Track,偏离计划
Offer,报价
Offer Prepared,报价已准备
Oldest First,最早优先
On Hold,暂停
On Leave,休假
On Track,按计划进行
On-Time Rate,按时完成率
Only administrators can delete activities,只有管理员可以删除动态
Only the comment author or administrators can delete comments,只有评论作者或管理员可以删除评论
Only you and admins,仅你和管理员
Open,未开始
Open in Desk,在Desk中打开
Open Task Log,打开任务日志
Open Tasks,未完成任务
Optional,可选
optional,可选
Or email us directly at,或直接发邮件至
Orga Project {0} from Frappe Projects,来自Frappe Projects的Orga项目 {0}
Orga Task {0} from Frappe,来自Frappe的Orga任务 {0}
Organizer,组织者
Other,其他
Over Budget,超出预算
Overall Progress,总体进度
Overall Utilization,总体利用率
Overallocated,过度分配
Overdue,逾期
overdue,逾期
Overdue Tasks,逾期任务
Overview,概览
Owner,所有者
Page Not Found,页面未找到
Parent,父级
Parent comment must belong to the same document,父评论必须属于同一文档
Parent comment not found,未找到父评论
Parent project not synced to Frappe yet,父项目尚未同步到Frappe
Parent project sync not enabled,父项目同步未启用
Partner,合作伙伴
Pending,待处理
per page,每页
Perform initial assessment and background check,执行初步评估和背景调查
Permanently remove this event,永久删除此事件
Permanently remove this task,永久删除此任务
Phone,电话
Pin,置顶
Pin Activity,置顶动态
Pin to top,置顶
Pinned,已置顶
Planned budget for this task,此任务的计划预算
Planning,规划中
Please describe your question or issue in detail...,请详细描述您的问题...
Please login to access Orga,请登录以访问Orga
Please login to access the client portal,请登录以访问客户门户
Please respond to this invitation in Orga,请在Orga中回复此邀请
Please select an image file,请选择图片文件
Please try again,请重试
Please type,请输入
Portal,门户
Portal access revoked for {0},已撤销 {0} 的门户访问权限
Portal user created successfully. Welcome email {0},门户用户已创建。欢迎邮件 {0}
Post,发布
Powered by,技术支持
Powered by Tonic,技术支持：Tonic
Predecessors (Blocked By),前置任务（阻塞来源）
Preferences,偏好设置
Preferences saved successfully,偏好设置已保存
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",自动生成项目编号的前缀（例如：ORG-2026-0001）
Prepare and document offer terms,准备并记录报价条款
Press,按
Preview,预览
Preview cascade before applying,应用前预览级联
Previous,上一步
Priority,优先级
Priority assigned to new tasks,分配给新任务的优先级
Priority updated,优先级已更新
Proficiency,熟练度
Profile,个人资料
Progress,进度
Progress (High-Low),进度（从高到低）
Progress (Low-High),进度（从低到高）
Progress Overview,进度概览
Progress updated,进度已更新
Project,项目
Project budget has been saved.,项目预算已保存。
Project code (e.g. ORG-2026-0001),项目编号（例如：ORG-2026-0001）
Project Code Prefix,项目编号前缀
Project created,项目已创建
Project deleted,项目已删除
Project description has been saved.,项目描述已保存。
Project Details,项目详情
Project end date has been saved.,项目结束日期已保存。
Project Files,项目文件
Project has no linked client,项目未关联客户
Project Health,项目健康度
Project Info,项目信息
Project is required,项目为必填项
Project is required for project context,项目上下文需要项目
Project is required when tracking context is 'project',"当跟踪上下文为项目""时，项目为必填项"""
Project Manager,项目经理
Project Name,项目名称
Project name and template name are required,项目名称和模板名称为必填项
Project name is required,项目名称为必填项
Project not found,未找到项目
Project not found or you do not have access,未找到项目或无访问权限
Project settings,项目设置
Project start date has been saved.,项目开始日期已保存。
Project title has been saved.,项目标题已保存。
Project Type,项目类型
Project updated,项目已更新
Project {0} linked to client {1},已将项目 {0} 关联到客户 {1}
Project {0} not found,未找到项目 {0}
Project {0} to Frappe Projects,将项目 {0} 同步到Frappe Projects
Project:,项目：
Projects,项目
projects,项目
Projects created:,已创建项目：
Projects Overview,项目概览
Projects skipped:,已跳过项目：
Projects updated:,已更新项目：
Promote failed,升级失败
Promote to task,升级为任务
Promoted to task,已升级为任务
Propose,建议
Propose New Time,建议新时间
Propose Time,建议时间
Proposed End,建议结束
Proposed Start,建议开始
Public,公开
Quick Action,快捷操作
Quick Actions,快捷操作
Quick Stats,快速统计
Rates,费率
Receive notifications via email,通过邮件接收通知
Receive notifications within the application,在应用内接收通知
Recent Activity,最近动态
Recipient {0} is not a valid user,收件人 {0} 不是有效用户
Reference,参考
Refresh,刷新
Related,相关
Related Company (optional),相关公司（可选）
Related Documents,相关文档
Related Project,相关项目
Remaining,剩余
Reminder,提醒
Reminder Lead Time,提醒提前时间
Reminder: {0} - {1} at {2},提醒：{0} - {1}（{2}）
Remove,移除
Remove dependency,移除依赖
Remove dependency on,移除对以下的依赖
Remove from group,从分组中移除
Remove group dependency,移除分组依赖
Remove skill,移除技能
Reopen,重新打开
Reopen thread,重新打开讨论
reopened,已重新打开
replies,回复
Reply,回复
reply,回复
Replying to,回复
Replying to comment,回复评论
Report Defect,报告缺陷
Reported Date,报告日期
Reports,报表
Reports To,上级
Request Submitted!,请求已提交！
Required,必填
required,必填
Research,调研
Reset to Defaults,重置为默认值
Resolve,解决
Resolve thread,解决讨论
Resolved,已解决
Resolved date cannot be before reported date,解决日期不能早于报告日期
Resource,资源
Resource and skill name are required,资源和技能名称为必填项
Resource is already an attendee,此资源已是参与者
Resource name is required,资源名称为必填项
Resource not found,未找到资源
Resource synced from employee {0},已从员工 {0} 同步资源
Resource {0} is already assigned to this task ({1}),资源 {0} 已分配到此任务（{1}）
Resource {0} not found,未找到资源 {0}
Resources,资源
Retry,重试
Review,审查
Review all relevant documents and contracts,审查所有相关文档和合同
Reviews,审查
Risk Assessment,风险评估
Rollback,回滚
Rolled back,已回滚
Room or address,房间或地址
RSVP,RSVP
Safety,安全
Sat,六
Save,保存
"Save a project as a template, or import one from a JSON file.",将项目保存为模板，或从JSON文件导入。
Save as Template,另存为模板
Save Changes,保存更改
Save failed,保存失败
Save Preferences,保存偏好设置
Save Template,保存模板
Saving...,正在保存...
Schedule,日程
Schedule type is required for scheduled triggers,定时触发器需要日程类型
Scheduled,已安排
Search,搜索
"Search by name, email, or skill...",按名称、邮箱或技能搜索...
Search for a project...,搜索项目...
Search for a task...,搜索任务...
Search for an event...,搜索事件...
Search for people to invite...,搜索要邀请的人...
Search tasks to link...,搜索要关联的任务...
Search tasks...,搜索任务...
Search...,搜索...
Searching...,正在搜索...
Seen,已查看
Select a project if your request is related to a specific project.,如果您的请求与特定项目相关，请选择项目。
Select a project...,选择项目...
Select a task from the Gantt chart to view and manage its details.,从Gantt图表中选择任务来查看和管理详情。
Select a task from the list or Kanban board to view and manage its details.,从列表或Kanban看板中选择任务来查看和管理详情。
Select a template...,选择模板...
Select priority...,选择优先级...
Select status...,选择状态...
Select task...,选择任务...
Select type...,选择类型...
Selection,选择
Send,发送
Send comment,发送评论
Send email invitations to attendees,向参与者发送邮件邀请
Send Invitations,发送邀请
Send notification when a task is assigned to a user,任务分配时发送通知
Send notification when task status changes,任务状态变更时发送通知
Send reminder before task due date,任务截止日期前发送提醒
sent,已发送
Set rate,设置费率
Settings,设置
Settings saved successfully,设置已保存
Severity,严重程度
SF (Start-Finish),SF（开始-完成）
SF - Start-to-Finish,SF - 开始-完成
Show,显示
Show all,显示全部
Show all changes,显示所有变更
Show Archived,显示已归档
Show full diff,显示完整差异
Show less,收起
Show more,展开
Skill added,技能已添加
Skill is required,技能为必填项
Skill Name,技能名称
Skill removed,技能已移除
Skill {0} already exists for this resource,此资源已有技能 {0}
Skills,技能
Skills & Competencies,技能与能力
Skip already migrated projects,跳过已迁移的项目
Sort by,排序
Sort: Due Date,排序：截止日期
Sort: Priority,排序：优先级
Sort: Project,排序：项目
Sort: Status,排序：状态
Sort: Task,排序：任务
Source Code,源代码
Spent,已花费
Spent:,已花费：
SS (Start-Start),SS（开始-开始）
SS - Start-to-Start,SS - 开始-开始
Standalone,独立
Start,开始
Start a discussion below,在下方开始讨论
Start Date,开始日期
Start date,开始日期
Start Date (Earliest),开始日期（最早）
Start date updated,开始日期已更新
Start date/time is required,开始日期/时间为必填项
Start Migration,开始迁移
Start the conversation below.,在下方开始对话。
Start Timer,启动计时器
Start typing to search...,输入内容开始搜索...
Start-to-Finish,开始-完成
Start-to-Start,开始-开始
Start:,开始：
Statistics reset,统计已重置
Status,状态
Status assigned to new projects,分配给新项目的状态
Status assigned to new tasks,分配给新任务的状态
Status Changes,状态变更
Status updated,状态已更新
Status:,状态：
Stop,停止
Stop & Save,停止并保存
Stop Timer,停止计时器
Stops current timer and starts for this event,停止当前计时器并为此事件启动
Stops current timer and starts for this task,停止当前计时器并为此任务启动
Subject,主题
Subject cannot exceed 255 characters,主题不能超过255个字符
Subject is required,主题为必填项
Submit,提交
Submit Another Request,提交另一个请求
Submit Request,提交请求
Submitting...,正在提交...
Successfully saved,保存成功
Successors (Blocking),后续任务（阻塞中）
Sun,日
Supplier,供应商
Support,支持
Switch to this event,切换到此事件
Switch to this task,切换到此任务
Sync direction is set to Frappe to Orga only,同步方向设为仅从Frappe到Orga
Sync direction is set to Orga to Frappe only,同步方向设为仅从Orga到Frappe
Sync not enabled for this project,此项目未启用同步
System,系统
Table,表格
Take ownership of this task,接手此任务
Target Date,目标日期
Target End,目标结束日期
Target Project,目标项目
Target user is required for '{0}' action,"{0}""操作需要目标用户"""
Task,任务
task,任务
Task '{0}' is due on {1}.,"任务{0}""的截止日期为 {1}。"""
Task and resource are required,任务和资源为必填项
Task Assignment,任务分配
Task cannot be its own parent,任务不能是自己的父级
Task cannot depend on itself,任务不能依赖自身
Task cannot depend on the group it belongs to,任务不能依赖其所属分组
Task created,任务已创建
Task deleted,任务已删除
Task description has been saved.,任务描述已保存。
Task Details,任务详情
Task due in {0} days: {1},{0}天后到期的任务：{1}
Task due today: {0},今天到期的任务：{0}
Task due tomorrow: {0},明天到期的任务：{0}
Task duplicated,任务已复制
Task Group,任务分组
Task ID is required,任务ID为必填项
Task is blocked by incomplete dependencies,任务被未完成的依赖阻塞
Task is cancelled,任务已取消
Task is completed,任务已完成
Task is no longer blocked by a group,任务不再被分组阻塞
Task is required for task context,任务上下文需要任务
Task is required when tracking context is 'task',"当跟踪上下文为任务""时，任务为必填项"""
Task linked,任务已关联
Task moved,任务已移动
Task name,任务名称
Task name is required,任务名称为必填项
Task removed from group,任务已从分组中移除
Task Subject,任务主题
Task subject is required,任务主题为必填项
Task Type,任务类型
Task unblocked: {0},任务已解除阻塞：{0}
Task unlinked,任务已取消关联
Task updated,任务已更新
Task {0} not found,未找到任务 {0}
Task {0} not in project {1},任务 {0} 不在项目 {1} 中
Task {0} to Frappe,将任务 {0} 同步到Frappe
Tasks,任务
tasks,任务
Tasks and milestones will be created with dates relative to the project start date.,任务和里程碑将以项目开始日期为基准创建相对日期。
Tasks assigned to you across all projects.,所有项目中分配给你的任务。
Tasks created:,已创建任务：
Tasks from projects you manage.,你管理的项目中的任务。
Tasks updated:,已更新任务：
"Tasks, milestones, and dependencies have been created.",任务、里程碑和依赖已创建。
Tasks:,任务：
TBD,待定
Team,团队
Team Members,团队成员
Template,模板
Template applied,模板已应用
Template data is required in import data,导入数据中需要模板数据
Template has no data,模板无数据
Template Name,模板名称
Template name,模板名称
Template name is required,模板名称为必填项
Template name is required in import data,导入数据中需要模板名称
Template saved,模板已保存
Template updated successfully.,模板已更新。
Template {0} not found,未找到模板 {0}
Templates,模板
Tentative,暂定
The comment has been deleted,评论已删除
The project,该项目
The source document may have been deleted.,源文档可能已被删除。
The source document will not be affected.,源文档不会受到影响。
The status of '{0}' was changed from {1} to {2}.,"{0}""的状态已从 {1} 变更为 {2}。"""
Theme,主题
Theme preference,主题偏好
This action,此操作
This action cannot be undone.,此操作无法撤销。
This activity has been flagged for attention,此动态已被标记为需关注
This is a reminder for your upcoming appointment,这是您即将到来的日程提醒
This method is only meant for developer mode,此方法仅适用于开发者模式
This page wandered off,此页面走丢了
This Week,本周
This will delete all notes and preferences associated with this activity.,这将删除与此动态关联的所有备注和偏好设置。
This will import all Frappe Projects into Orga. Continue?,这将把所有Frappe项目导入到Orga。是否继续？
This will permanently delete,这将永久删除
This will permanently delete:,以下内容将被永久删除：
Thu,四
Time,时间
Time & Billing,时间与计费
Time & Revenue,时间与收入
Time Entries,时间条目
Time log name is required,时间记录名称为必填项
Time Log not found,未找到时间记录
Time log {0} not found,未找到时间记录 {0}
Time Logs,时间记录
Time Summary,时间概要
Time Tracking,时间管理
Timeline,时间线
Timer active on,计时器运行对象
Timer is not running,计时器未运行
Timer Running,计时器运行中
Timer running,计时器运行中
Timesheet DocType not available,工时表DocType不可用
Timesheets,工时表
Timezone,时区
Timezone is detected from your browser,时区由浏览器自动检测
Title,标题
Title cannot exceed 255 characters,标题不能超过255个字符
Title is required,标题为必填项
Title updated,标题已更新
To,结束
to,至
to cancel,取消
to close,关闭
to confirm:,确认：
to edit,编辑
"to save,",保存，
To Time cannot be before From Time,结束时间不能早于开始时间
Today,今天
today,今天
Toggle billable,切换可计费状态
Toggle Details Panel,切换详情面板
Toggle Manager Panel,切换管理面板
Toggle Sidebar,切换侧边栏
Tomorrow,明天
tomorrow,明天
Total,合计
Total Budget,总预算
Total Contacts,联系人总数
Total Cost,总成本
Total Cost to Org,组织总成本
Total Defect Cost,缺陷总成本
Total Hours,总工时
Total Hours Logged,已记录总工时
Total Projects,项目总数
Total Spent,总花费
Total Tasks,任务总数
Total:,合计：
Tracked,已跟踪
trails to today while Open at 0%,未开始(0%)时自动顺延到今天
Tried:,尝试：
Try adjusting your filter criteria,尝试调整筛选条件
Try adjusting your filters.,尝试调整筛选条件。
Try Again,重试
Tue,二
Type,类型
Type updated,类型已更新
Type:,类型：
Typical response time: 1-2 business days,通常回复时间：1-2个工作日
Unarchive,取消归档
Unarchive Activity,取消归档动态
Unassign,取消分配
Unassigned,未分配
Under Budget,预算内
Ungrouped,未分组
Unknown,未知
Unknown error,未知错误
Unlink failed,取消关联失败
Unlink task from milestone,取消任务与里程碑的关联
Unpin,取消置顶
Unpin Activity,取消置顶动态
Unread,未读
Unread only,仅未读
Until,直到
Up to Date,Up to Date
Upcoming,即将到来
upcoming,即将到来
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,更新失败
Updated,已更新
Updated successfully,更新成功
Updates,Updates
Upload,上传
Upload failed,上传失败
Upload files below to attach them to this task.,在下方上传文件以附加到此任务。
Upload to project,上传到项目
Uploading...,正在上传...
Urgent,紧急
User {0} is already linked to client {1},用户 {0} 已关联到客户 {1}
User {0} is already linked to resource {1},用户 {0} 已关联到资源 {1}
Utilization,利用率
Valid,有效
Value:,值：
Variance,偏差
Variance:,偏差：
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,查看
View All,查看全部
View all active projects,查看所有进行中的项目
View all open tasks,查看所有未完成任务
View overdue tasks,查看逾期任务
View Release,View Release
Visibility,可见范围
Waiting for this task,等待此任务完成
Waits for:,等待：
Warning: Resource {0} status is {1},警告：资源 {0} 的状态为 {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,警告：使用HTTP而非HTTPS。Webhook数据可能不安全。
Watch budget closely,密切关注预算
We'll respond to:,我们将回复至：
Webhook deleted,Webhook已删除
Webhook name is required,Webhook名称为必填项
Webhook not found,未找到Webhook
Webhook URL is required,Webhook URL为必填项
Webhook URL must start with http:// or https://,Webhook URL必须以 http:// 或 https:// 开头
Wed,三
Week,周
Weekend,周末
Weekly Capacity,每周容量
weekly capacity,每周容量
Weekly Capacity (h),每周容量（小时）
Welcome,欢迎
Welcome back!,欢迎回来！
Welcome to Orga,欢迎使用Orga
What are you working on?,你在做什么？
What did you work on?,你做了什么？
When,时间
When work begins,工作开始日期
When work is due,工作截止日期
Where,地点
Will capture:,将包含：
Will create:,将创建：
with checklist items,包含检查项
Working,进行中
Workload,工作量
Workmanship,施工质量
Write a comment...,写评论...
Write a comment... Use @name to mention (Ctrl+Enter to send),写评论... 用 @名字 提及（Ctrl+Enter 发送）
Year,年
Yes,是
Yesterday,昨天
yesterday,昨天
You are not an attendee of this appointment,你不是此日程的参与者
You are not linked to any resource,你未关联到任何资源
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,只能删除自己的评论
You can only delete your own reactions,只能删除自己的回应
You do not have access to the client portal. Please contact support.,你没有客户门户的访问权限，请联系支持。
You have already reacted with '{0}',"你已用{0}""回应过"""
You have been assigned to task '{0}' in project '{1}'.,"你已被分配到项目{1}""中的任务""{0}""。"""
You have been assigned to: {0},你已被分配到：{0}
You have been invited to the following appointment,你已被邀请参加以下日程
You have no tasks assigned to you right now.,你目前没有被分配的任务。
You were mentioned in {0},你在 {0} 中被提及
Your attendance,你的出席情况
Your comment has been posted,评论已发布
Your Projects,我的项目
Your projects will appear here once they're assigned to you.,项目分配给你后会显示在这里。
Your Response,你的回复
Your RSVP,你的RSVP
Your support request has been submitted successfully.,支持请求已提交。
Your support request has been submitted successfully. We'll get back to you shortly.,支持请求已提交，我们会尽快回复您。
"Your task ""{0}"" is no longer blocked and can now be started.","你的任务{0}""已不再被阻塞，现在可以开始了。"""
{0} is required,{0}为必填项
{0} new activities,{0}条新动态
{0} of {1} completed,{1}项中已完成{0}项
{0} projects already migrated (will be skipped or updated),{0}个项目已迁移（将被跳过或更新）
{0} status changed to {1},{0}的状态已变更为{1}
{0} tasks remaining,剩余{0}个任务
{0} tasks without projects will be skipped,{0}个无项目的任务将被跳过
{0} {1} not found,未找到{0} {1}
